symbol,date,price
product,Oct 2002,19.36
product,Nov 2002,23.35
product,Dec 2002,18.89
product,Jan 2003,21.85
product,Feb 2003,22.01
product,Mar 2003,26.03
product,Apr 2003,28.69
product,May 2003,35.89
product,Jun 2003,36.32
product,Jul 2003,41.64
product,Aug 2003,46.32
product,Sep 2003,48.43
product,Oct 2003,54.43
product,Nov 2003,53.97
product,Dec 2003,52.62
product,Jan 2004,50.4
product,Feb 2004,43.01
product,Mar 2004,43.28
product,Apr 2004,43.6
product,May 2004,48.5
product,Jun 2004,54.4
product,Jul 2004,38.92
product,Aug 2004,38.14
product,Sep 2004,40.86
product,Oct 2004,34.13
product,Nov 2004,39.68
product,Dec 2004,44.29
product,Jan 2005,43.22
product,Feb 2005,35.18
product,Mar 2005,34.27
product,Apr 2005,32.36
product,May 2005,35.51
product,Jun 2005,33.09
product,Jul 2005,45.15
product,Aug 2005,42.7
product,Sep 2005,45.3
product,Oct 2005,39.86
product,Nov 2005,48.46
product,Dec 2005,47.15
product,Jan 2006,44.82
product,Feb 2006,37.44
product,Mar 2006,36.53
product,Apr 2006,35.21
product,May 2006,34.61
product,Jun 2006,38.68
product,Jul 2006,26.89
product,Aug 2006,30.83
product,Sep 2006,32.12
product,Oct 2006,38.09
product,Nov 2006,40.34
product,Dec 2006,39.46
product,Jan 2007,37.67
product,Feb 2007,39.14
product,Mar 2007,39.79
product,Apr 2007,61.33
product,May 2007,69.14
product,Jun 2007,68.41
product,Jul 2007,78.54
product,Aug 2007,79.91
product,Sep 2007,93.15
product,Oct 2007,89.15
product,Nov 2007,90.56
product,Dec 2007,92.64
product,Jan 2008,77.7
product,Feb 2008,64.47
product,Mar 2008,71.3
product,Apr 2008,78.63
product,May 2008,81.62
product,Jun 2008,73.33
product,Jul 2008,76.34
product,Aug 2008,80.81
product,Sep 2008,72.76
product,Oct 2008,57.24
product,Nov 2008,42.7
product,Dec 2008,51.28
product,Jan 2009,58.82
product,Feb 2009,64.79
product,Mar 2009,73.44
product,Apr 2009,80.52
product,May 2009,77.99
product,Jun 2009,83.66
product,Jul 2009,85.76
product,Aug 2009,81.19
product,Sep 2009,93.36
product,Oct 2009,118.81
product,Nov 2009,135.91
product,Dec 2009,134.52
product,Jan 2010,125.41
product,Feb 2010,118.4
product,Mar 2010,128.82
3dsys,Jan 2000,100.52
3dsys,Feb 2000,92.11
3dsys,Mar 2000,106.11
3dsys,Apr 2000,99.95
3dsys,May 2000,96.31
3dsys,Jun 2000,98.33
3dsys,Jul 2000,100.74
3dsys,Aug 2000,118.62
3dsys,Sep 2000,101.19
3dsys,Oct 2000,88.5
3dsys,Nov 2000,84.12
3dsys,Dec 2000,76.47
3dsys,Jan 2001,100.76
3dsys,Feb 2001,89.98
3dsys,Mar 2001,86.63
3dsys,Apr 2001,103.7
3dsys,May 2001,100.82
3dsys,Jun 2001,102.35
3dsys,Jul 2001,94.87
3dsys,Aug 2001,90.25
3dsys,Sep 2001,82.82
3dsys,Oct 2001,97.58
3dsys,Nov 2001,104.5
3dsys,Dec 2001,109.36
3dsys,Jan 2002,97.54
3dsys,Feb 2002,88.82
3dsys,Mar 2002,94.15
3dsys,Apr 2002,75.82
3dsys,May 2002,72.97
3dsys,Jun 2002,65.31
3dsys,Jul 2002,63.86
3dsys,Aug 2002,68.52
3dsys,Sep 2002,53.01
3dsys,Oct 2002,71.76
3dsys,Nov 2002,79.16
3dsys,Dec 2002,70.58
3dsys,Jan 2003,71.22
3dsys,Feb 2003,71.13
3dsys,Mar 2003,71.57
3dsys,Apr 2003,77.47
3dsys,May 2003,80.48
3dsys,Jun 2003,75.42
3dsys,Jul 2003,74.28
3dsys,Aug 2003,75.12
3dsys,Sep 2003,80.91
3dsys,Oct 2003,81.96
3dsys,Nov 2003,83.08
3dsys,Dec 2003,85.05
3dsys,Jan 2004,91.06
3dsys,Feb 2004,88.7
3dsys,Mar 2004,84.41
3dsys,Apr 2004,81.04
3dsys,May 2004,81.59
3dsys,Jun 2004,81.19
3dsys,Jul 2004,80.19
3dsys,Aug 2004,78.17
3dsys,Sep 2004,79.13
3dsys,Oct 2004,82.84
3dsys,Nov 2004,87.15
3dsys,Dec 2004,91.16
3dsys,Jan 2005,86.39
3dsys,Feb 2005,85.78
3dsys,Mar 2005,84.66
3dsys,Apr 2005,70.77
3dsys,May 2005,70.18
3dsys,Jun 2005,68.93
3dsys,Jul 2005,77.53
3dsys,Aug 2005,75.07
3dsys,Sep 2005,74.7
3dsys,Oct 2005,76.25
3dsys,Nov 2005,82.98
3dsys,Dec 2005,76.73
3dsys,Jan 2006,75.89
3dsys,Feb 2006,75.09
3dsys,Mar 2006,77.17
3dsys,Apr 2006,77.05
3dsys,May 2006,75.04
3dsys,Jun 2006,72.15
3dsys,Jul 2006,72.7
3dsys,Aug 2006,76.35
3dsys,Sep 2006,77.26
3dsys,Oct 2006,87.06
3dsys,Nov 2006,86.95
3dsys,Dec 2006,91.9
3dsys,Jan 2007,93.79
3dsys,Feb 2007,88.18
3dsys,Mar 2007,89.44
3dsys,Apr 2007,96.98
3dsys,May 2007,101.54
3dsys,Jun 2007,100.25
3dsys,Jul 2007,105.4
3dsys,Aug 2007,111.54
3dsys,Sep 2007,112.6
3dsys,Oct 2007,111
3dsys,Nov 2007,100.9
3dsys,Dec 2007,103.7
3dsys,Jan 2008,102.75
3dsys,Feb 2008,109.64
3dsys,Mar 2008,110.87
3dsys,Apr 2008,116.23
3dsys,May 2008,125.14
3dsys,Jun 2008,114.6
3dsys,Jul 2008,123.74
3dsys,Aug 2008,118.16
3dsys,Sep 2008,113.53
3dsys,Oct 2008,90.24
3dsys,Nov 2008,79.65
3dsys,Dec 2008,82.15
3dsys,Jan 2009,89.46
3dsys,Feb 2009,90.32
3dsys,Mar 2009,95.09
3dsys,Apr 2009,101.29
3dsys,May 2009,104.85
3dsys,Jun 2009,103.01
3dsys,Jul 2009,116.34
3dsys,Aug 2009,117
3dsys,Sep 2009,118.55
3dsys,Oct 2009,119.54
3dsys,Nov 2009,125.79
3dsys,Dec 2009,130.32
3dsys,Jan 2010,121.85
3dsys,Feb 2010,127.16
3dsys,Mar 2010,125.55
print,Jan 2000,6.67
print,Feb 2000,6.41
print,Mar 2000,6.02
print,Apr 2000,6.21
print,May 2000,6.28
print,Jun 2000,6.02
print,Jul 2000,6.03
print,Aug 2000,5.73
print,Sep 2000,5.78
print,Oct 2000,5.76
print,Nov 2000,5.44
print,Dec 2000,5.11
print,Jan 2001,5.18
print,Feb 2001,4.91
print,Mar 2001,4.91
print,Apr 2001,5.34
print,May 2001,5.41
print,Jun 2001,5.39
print,Jul 2001,5.04
print,Aug 2001,4.82
print,Sep 2001,4.57
print,Oct 2001,4.26
print,Nov 2001,4.74
print,Dec 2001,5.03
print,Jan 2002,5.03
print,Feb 2002,4.86
print,Mar 2002,5.41
print,Apr 2002,5.09
print,May 2002,5.04
print,Jun 2002,4.82
print,Jul 2002,4.47
print,Aug 2002,4.14
print,Sep 2002,3.61
print,Oct 2002,3.91
print,Nov 2002,4.21
print,Dec 2002,3.82
print,Jan 2003,3.97
print,Feb 2003,3.7
print,Mar 2003,3.82
print,Apr 2003,3.86
print,May 2003,3.35
print,Jun 2003,3.53
